2025-07-04 09:54:29,886 INFO: Width [64, 32, 16]
2025-07-04 09:54:30,040 INFO: Epoch 1: train_loss=0.6956, train_acc=0.4948, val_loss=0.6938, val_acc=0.5050
2025-07-04 09:54:30,179 INFO: Epoch 2: train_loss=0.6919, train_acc=0.5150, val_loss=0.6944, val_acc=0.4970
2025-07-04 09:54:30,315 INFO: Epoch 3: train_loss=0.6899, train_acc=0.5250, val_loss=0.6959, val_acc=0.5170
2025-07-04 09:54:30,455 INFO: Epoch 4: train_loss=0.6886, train_acc=0.5300, val_loss=0.6965, val_acc=0.4890
2025-07-04 09:54:30,607 INFO: Epoch 5: train_loss=0.6860, train_acc=0.5443, val_loss=0.6975, val_acc=0.4830
2025-07-04 09:54:30,746 INFO: Epoch 6: train_loss=0.6830, train_acc=0.5550, val_loss=0.6983, val_acc=0.4930
2025-07-04 09:54:30,882 INFO: Epoch 7: train_loss=0.6785, train_acc=0.5740, val_loss=0.7022, val_acc=0.4820
2025-07-04 09:54:31,034 INFO: Epoch 8: train_loss=0.6742, train_acc=0.5810, val_loss=0.7073, val_acc=0.5040
2025-07-04 09:54:31,162 INFO: Epoch 9: train_loss=0.6656, train_acc=0.6012, val_loss=0.7115, val_acc=0.5120
2025-07-04 09:54:31,297 INFO: Epoch 10: train_loss=0.6561, train_acc=0.6122, val_loss=0.7276, val_acc=0.5050
2025-07-04 09:54:31,424 INFO: Epoch 11: train_loss=0.6479, train_acc=0.6292, val_loss=0.7295, val_acc=0.5140
2025-07-04 09:54:31,558 INFO: Epoch 12: train_loss=0.6358, train_acc=0.6388, val_loss=0.7372, val_acc=0.5090
2025-07-04 09:54:31,683 INFO: Epoch 13: train_loss=0.6270, train_acc=0.6593, val_loss=0.7501, val_acc=0.5050
2025-07-04 09:54:31,813 INFO: Epoch 14: train_loss=0.6151, train_acc=0.6603, val_loss=0.7605, val_acc=0.5070
2025-07-04 09:54:31,940 INFO: Epoch 15: train_loss=0.6056, train_acc=0.6773, val_loss=0.7653, val_acc=0.4980
2025-07-04 09:54:32,078 INFO: Epoch 16: train_loss=0.5904, train_acc=0.6963, val_loss=0.7876, val_acc=0.5060
2025-07-04 09:54:32,208 INFO: Epoch 17: train_loss=0.5747, train_acc=0.7015, val_loss=0.7967, val_acc=0.5040
2025-07-04 09:54:32,340 INFO: Epoch 18: train_loss=0.5631, train_acc=0.7123, val_loss=0.8141, val_acc=0.4960
2025-07-04 09:54:32,469 INFO: Epoch 19: train_loss=0.5654, train_acc=0.7115, val_loss=0.8319, val_acc=0.5120
2025-07-04 09:54:32,611 INFO: Epoch 20: train_loss=0.5479, train_acc=0.7242, val_loss=0.8351, val_acc=0.5030
2025-07-04 09:54:32,611 INFO: Elapsed time: 2.7252 sec
2025-07-04 09:54:32,612 INFO: Width [256, 128, 64]
2025-07-04 09:54:32,765 INFO: Epoch 1: train_loss=0.6950, train_acc=0.5050, val_loss=0.6951, val_acc=0.4810
2025-07-04 09:54:32,934 INFO: Epoch 2: train_loss=0.6892, train_acc=0.5377, val_loss=0.6957, val_acc=0.4820
2025-07-04 09:54:33,086 INFO: Epoch 3: train_loss=0.6857, train_acc=0.5443, val_loss=0.6976, val_acc=0.4990
2025-07-04 09:54:33,254 INFO: Epoch 4: train_loss=0.6782, train_acc=0.5687, val_loss=0.7238, val_acc=0.4870
2025-07-04 09:54:33,404 INFO: Epoch 5: train_loss=0.6677, train_acc=0.5917, val_loss=0.7200, val_acc=0.4850
2025-07-04 09:54:33,557 INFO: Epoch 6: train_loss=0.6524, train_acc=0.6085, val_loss=0.7322, val_acc=0.4610
2025-07-04 09:54:33,746 INFO: Epoch 7: train_loss=0.6298, train_acc=0.6435, val_loss=0.7508, val_acc=0.5110
2025-07-04 09:54:33,951 INFO: Epoch 8: train_loss=0.5974, train_acc=0.6840, val_loss=0.7934, val_acc=0.5050
2025-07-04 09:54:34,137 INFO: Epoch 9: train_loss=0.5613, train_acc=0.7073, val_loss=0.8457, val_acc=0.4800
2025-07-04 09:54:34,289 INFO: Epoch 10: train_loss=0.5193, train_acc=0.7465, val_loss=0.9039, val_acc=0.4870
2025-07-04 09:54:34,445 INFO: Epoch 11: train_loss=0.4539, train_acc=0.7792, val_loss=0.9671, val_acc=0.4980
2025-07-04 09:54:34,603 INFO: Epoch 12: train_loss=0.4071, train_acc=0.8145, val_loss=0.9764, val_acc=0.5100
2025-07-04 09:54:34,757 INFO: Epoch 13: train_loss=0.3387, train_acc=0.8565, val_loss=1.1284, val_acc=0.4910
2025-07-04 09:54:34,909 INFO: Epoch 14: train_loss=0.2862, train_acc=0.8825, val_loss=1.2133, val_acc=0.5020
2025-07-04 09:54:35,064 INFO: Epoch 15: train_loss=0.2204, train_acc=0.9150, val_loss=1.4071, val_acc=0.5140
2025-07-04 09:54:35,232 INFO: Epoch 16: train_loss=0.1928, train_acc=0.9285, val_loss=1.5816, val_acc=0.5120
2025-07-04 09:54:35,400 INFO: Epoch 17: train_loss=0.1651, train_acc=0.9375, val_loss=1.7333, val_acc=0.5180
2025-07-04 09:54:35,553 INFO: Epoch 18: train_loss=0.1271, train_acc=0.9590, val_loss=1.8092, val_acc=0.5110
2025-07-04 09:54:35,704 INFO: Epoch 19: train_loss=0.1019, train_acc=0.9673, val_loss=1.9057, val_acc=0.5140
2025-07-04 09:54:35,888 INFO: Epoch 20: train_loss=0.0722, train_acc=0.9810, val_loss=2.0861, val_acc=0.5110
2025-07-04 09:54:35,889 INFO: Elapsed time: 3.2762 sec
2025-07-04 09:54:35,895 INFO: Width [1024, 512, 256]
2025-07-04 09:54:36,388 INFO: Epoch 1: train_loss=0.6970, train_acc=0.5065, val_loss=0.6940, val_acc=0.4910
2025-07-04 09:54:36,955 INFO: Epoch 2: train_loss=0.6920, train_acc=0.5178, val_loss=0.6954, val_acc=0.5030
2025-07-04 09:54:37,458 INFO: Epoch 3: train_loss=0.6887, train_acc=0.5373, val_loss=0.6990, val_acc=0.4920
2025-07-04 09:54:37,927 INFO: Epoch 4: train_loss=0.6801, train_acc=0.5685, val_loss=0.7198, val_acc=0.4770
2025-07-04 09:54:38,415 INFO: Epoch 5: train_loss=0.6669, train_acc=0.5955, val_loss=0.7039, val_acc=0.4990
2025-07-04 09:54:38,872 INFO: Epoch 6: train_loss=0.6449, train_acc=0.6288, val_loss=0.7640, val_acc=0.5060
2025-07-04 09:54:39,384 INFO: Epoch 7: train_loss=0.6152, train_acc=0.6540, val_loss=0.7587, val_acc=0.4910
2025-07-04 09:54:39,948 INFO: Epoch 8: train_loss=0.5648, train_acc=0.7077, val_loss=0.8432, val_acc=0.4840
2025-07-04 09:54:40,542 INFO: Epoch 9: train_loss=0.5193, train_acc=0.7360, val_loss=0.8703, val_acc=0.5050
2025-07-04 09:54:41,287 INFO: Epoch 10: train_loss=0.4532, train_acc=0.7853, val_loss=1.0021, val_acc=0.4880
2025-07-04 09:54:42,017 INFO: Epoch 11: train_loss=0.3879, train_acc=0.8297, val_loss=1.1865, val_acc=0.4920
2025-07-04 09:54:42,631 INFO: Epoch 12: train_loss=0.3220, train_acc=0.8615, val_loss=1.3106, val_acc=0.5000
2025-07-04 09:54:43,227 INFO: Epoch 13: train_loss=0.2508, train_acc=0.8965, val_loss=1.4910, val_acc=0.5040
2025-07-04 09:54:43,794 INFO: Epoch 14: train_loss=0.1703, train_acc=0.9347, val_loss=1.8241, val_acc=0.4810
2025-07-04 09:54:44,388 INFO: Epoch 15: train_loss=0.1369, train_acc=0.9450, val_loss=2.0832, val_acc=0.4860
2025-07-04 09:54:44,934 INFO: Epoch 16: train_loss=0.1387, train_acc=0.9463, val_loss=2.0574, val_acc=0.4920
2025-07-04 09:54:45,490 INFO: Epoch 17: train_loss=0.0961, train_acc=0.9670, val_loss=2.4708, val_acc=0.5050
2025-07-04 09:54:46,224 INFO: Epoch 18: train_loss=0.0656, train_acc=0.9762, val_loss=2.6734, val_acc=0.4770
2025-07-04 09:54:46,896 INFO: Epoch 19: train_loss=0.0532, train_acc=0.9832, val_loss=2.9941, val_acc=0.4840
2025-07-04 09:54:47,468 INFO: Epoch 20: train_loss=0.0332, train_acc=0.9908, val_loss=2.8375, val_acc=0.5000
2025-07-04 09:54:47,468 INFO: Elapsed time: 11.5736 sec
2025-07-04 09:54:47,488 INFO: Width [2048, 1024, 512]
2025-07-04 09:54:48,935 INFO: Epoch 1: train_loss=0.7007, train_acc=0.5008, val_loss=0.6944, val_acc=0.5120
2025-07-04 09:54:50,464 INFO: Epoch 2: train_loss=0.6902, train_acc=0.5298, val_loss=0.7007, val_acc=0.5110
2025-07-04 09:54:51,889 INFO: Epoch 3: train_loss=0.6868, train_acc=0.5433, val_loss=0.7106, val_acc=0.4780
2025-07-04 09:54:53,277 INFO: Epoch 4: train_loss=0.6803, train_acc=0.5515, val_loss=0.7077, val_acc=0.5060
2025-07-04 09:54:54,677 INFO: Epoch 5: train_loss=0.6674, train_acc=0.5875, val_loss=0.7089, val_acc=0.4950
2025-07-04 09:54:56,065 INFO: Epoch 6: train_loss=0.6531, train_acc=0.6085, val_loss=0.7419, val_acc=0.4990
2025-07-04 09:54:57,456 INFO: Epoch 7: train_loss=0.6291, train_acc=0.6368, val_loss=0.7645, val_acc=0.4840
2025-07-04 09:54:59,076 INFO: Epoch 8: train_loss=0.5873, train_acc=0.6737, val_loss=0.8051, val_acc=0.4760
2025-07-04 09:55:00,690 INFO: Epoch 9: train_loss=0.5372, train_acc=0.7218, val_loss=0.8887, val_acc=0.4740
2025-07-04 09:55:02,216 INFO: Epoch 10: train_loss=0.4809, train_acc=0.7518, val_loss=0.9614, val_acc=0.4730
2025-07-04 09:55:03,801 INFO: Epoch 11: train_loss=0.4162, train_acc=0.8055, val_loss=1.1906, val_acc=0.4960
2025-07-04 09:55:05,574 INFO: Epoch 12: train_loss=0.3402, train_acc=0.8427, val_loss=1.3266, val_acc=0.4930
2025-07-04 09:55:07,684 INFO: Epoch 13: train_loss=0.2740, train_acc=0.8835, val_loss=1.6796, val_acc=0.4890
2025-07-04 09:55:09,585 INFO: Epoch 14: train_loss=0.1930, train_acc=0.9213, val_loss=2.0115, val_acc=0.5010
2025-07-04 09:55:11,393 INFO: Epoch 15: train_loss=0.1470, train_acc=0.9387, val_loss=2.2252, val_acc=0.5140
2025-07-04 09:55:13,111 INFO: Epoch 16: train_loss=0.1157, train_acc=0.9540, val_loss=2.5244, val_acc=0.5110
2025-07-04 09:55:14,906 INFO: Epoch 17: train_loss=0.1119, train_acc=0.9577, val_loss=2.7411, val_acc=0.5040
2025-07-04 09:55:16,636 INFO: Epoch 18: train_loss=0.0793, train_acc=0.9710, val_loss=2.7872, val_acc=0.5130
2025-07-04 09:55:18,396 INFO: Epoch 19: train_loss=0.0517, train_acc=0.9842, val_loss=3.0509, val_acc=0.5100
2025-07-04 09:55:20,126 INFO: Epoch 20: train_loss=0.0436, train_acc=0.9860, val_loss=3.3480, val_acc=0.5060
2025-07-04 09:55:20,127 INFO: Elapsed time: 32.6396 sec
